id,category,question,gold_sections,required_facts,difficulty,status,notes
GA1,single-hop-lookup,"What are the two maximum administrative fine tiers under the GDPR, and which kinds of infringements fall into the higher tier?",Article 83,"10 000 000 EUR / 2% of worldwide turnover; 20 000 000 EUR / 4%; higher tier covers basic principles (Arts 5,6,7,9), data subjects' rights (Arts 12-22), transfers (Arts 44-49)",easy,DRAFT,Fine tiers are verbatim in Art 83(4)-(5).
GA2,single-hop-lookup,"Within what deadline must a controller notify a personal data breach to the supervisory authority, and what must accompany a notification made after that deadline?",Article 33,without undue delay; not later than 72 hours; late notification accompanied by reasons for the delay,easy,DRAFT,
GA3,single-hop-lookup,"How does the GDPR define 'personal data', and what makes a natural person 'identifiable'?",Article 4,"any information relating to an identified or identifiable natural person; identifiers such as name, identification number, location data, online identifier",easy,DRAFT,Definitions article; direct lookup.
GA4,single-hop-lookup,"At what age can a child validly consent to information society services under the GDPR, and how far may Member States lower that age?",Article 8,16 years; Member States may lower it but not below 13 years,easy,DRAFT,
GB1,multi-hop-synthesis,"When is a data protection impact assessment required, and what must the controller do if the assessment indicates a high residual risk it cannot mitigate?",Article 35; Article 36,likely to result in a high risk (systematic evaluation / large scale special categories / systematic monitoring of public areas); must consult the supervisory authority prior to processing,medium,DRAFT,"DPIA trigger in 35, consequence in 36."
GB2,multi-hop-synthesis,"Article 9 prohibits processing special categories of data such as health data. How does its structure differ from Article 6's list of lawful bases, and name two grounds that can lift the Article 9 prohibition.",Article 6; Article 9,Article 6 permits processing when any listed basis applies; Article 9 starts from 'shall be prohibited' with enumerated exceptions; explicit consent; preventive or occupational medicine / public health / employment law (any two),medium,DRAFT,"Reworded: structure contrast is answerable from the text; the 'both must be satisfied' doctrine is EDPB guidance, NOT in the corpus."
GB3,multi-hop-synthesis,"Contrast breach notification to the supervisory authority with breach communication to data subjects: thresholds, timing, and when communication to data subjects is not required.",Article 33; Article 34,"authority: unless unlikely to result in a risk, 72 hours; data subjects: only when likely to result in a HIGH risk, without undue delay; exceptions: encryption/unintelligible data, subsequent measures, disproportionate effort (public communication instead)",medium,DRAFT,
GB4,multi-hop-synthesis,"When must an organisation designate a Data Protection Officer, and what protections and reporting position does the DPO hold?",Article 37; Article 38,public authority; core activities involving regular and systematic monitoring on a large scale; large scale special categories; shall not be dismissed or penalised; reports to the highest management level,medium,DRAFT,
GB5,multi-hop-synthesis,"In the absence of an adequacy decision, through what mechanisms may personal data be transferred to a third country, and what remains if none of those mechanisms are available?",Article 46; Article 49,"appropriate safeguards: binding corporate rules, standard data protection clauses, approved code of conduct or certification; failing those, Article 49 derogations e.g. explicit consent, contract necessity",medium,DRAFT,Adequacy (45) is context; gold is the fallback chain 46->49.
GB6,multi-hop-synthesis,"A data subject withdraws consent to processing. What does the GDPR require about the withdrawal itself, and which right can the data subject then invoke to have the data removed, on what ground?",Article 7; Article 17,right to withdraw at any time; withdrawal shall not affect lawfulness of prior processing; as easy to withdraw as to give consent; erasure where consent is withdrawn (Article 17(1)(b)),hard,DRAFT,Replaced portability question whose answer was fully contained in Article 20 (gold was inflated); this is a true 7->17 chain.
GC1,cross-reference-resolution,"Article 17(1)(c) permits erasure where the data subject objects 'pursuant to Article 21(1)'. What does Article 21(1) provide, and what can defeat such an objection?",Article 17; Article 21,"right to object on grounds relating to his or her particular situation; controller may continue if it demonstrates compelling legitimate grounds overriding the data subject, or for legal claims",medium,DRAFT,
GC2,cross-reference-resolution,"Article 22(4) forbids automated decisions based on special categories of data unless which two Article 9(2) grounds apply, and what are those grounds?",Article 22; Article 9,"points (a) and (g) of Article 9(2): explicit consent, substantial public interest; suitable measures to safeguard rights must be in place",medium,DRAFT,
GC3,cross-reference-resolution,Article 46(2)(b) allows transfers under binding corporate rules 'in accordance with Article 47'. What must binding corporate rules satisfy under Article 47?,Article 46; Article 47,"legally binding and apply to and are enforced by every member concerned; expressly confer enforceable rights on data subjects; specify structure, transfers, complaint procedures",hard,DRAFT,
GC4,cross-reference-resolution,Erasure under Article 17(3)(c) yields to public-health processing 'in accordance with points (h) and (i) of Article 9(2)'. What processing do those two points cover?,Article 17; Article 9,"(h) preventive or occupational medicine, medical diagnosis, provision of health or social care; (i) public interest in the area of public health, e.g. cross-border threats to health",hard,DRAFT,
GC5,cross-reference-resolution,"Non-compliance with a supervisory authority order 'as referred to in Article 58(2)' draws which fine tier, and name three corrective powers Article 58(2) contains.",Article 83; Article 58,"up to 20 000 000 EUR or 4% of worldwide turnover; warnings, reprimands, order to comply with data subject requests, temporary or definitive limitation including a ban on processing (any three)",medium,DRAFT,
GD1,scattered-enumeration,"Enumerate the data subject rights established in Chapter III, citing the article for each.",Article 15; Article 16; Article 17; Article 18; Article 20; Article 21; Article 22,access (15); rectification (16); erasure (17); restriction (18); portability (20); object (21); not to be subject to automated individual decision-making (22),medium,DRAFT,Notification duty (19) and transparency (12-14) acceptable extras.
GD2,scattered-enumeration,"Which provisions impose documentation or record-keeping duties on controllers - from the general principle requiring the controller to be able to demonstrate compliance, to specific processing records and breach documentation?",Article 5; Article 30; Article 33,accountability principle (5(2)); records of processing activities (30); controller shall document any personal data breaches (33(5)),hard,DRAFT,"Reworded so the accountability principle (5(2)) is unambiguously in scope, justifying Article 5 in gold."
GD3,scattered-enumeration,"List the remedies available to a data subject under Chapter VIII, citing the articles.",Article 77; Article 78; Article 79; Article 82,lodge a complaint with a supervisory authority (77); judicial remedy against a supervisory authority (78); judicial remedy against a controller or processor (79); compensation (82),medium,DRAFT,
GD4,scattered-enumeration,"Which articles establish codes of conduct and certification mechanisms, and who monitors compliance with each?",Article 40; Article 41; Article 42; Article 43,codes of conduct (40) monitored by an accredited monitoring body (41); certification (42) issued by an accredited certification body or supervisory authority (43),medium,DRAFT,
GD5,scattered-enumeration,"Which provisions require controllers to give information to data subjects when data are collected, and how do the duties differ by whether the data came from the data subject?",Article 13; Article 14,"Article 13 where data obtained from the data subject (at the time); Article 14 where data have not been obtained from the data subject (within a reasonable period, at the latest one month)",medium,DRAFT,
GE1,boundary-absence,Does the GDPR apply to a private individual keeping an address book or using social networks purely privately? Where is the boundary drawn?,Article 2,does not apply to processing by a natural person in the course of a purely personal or household activity,easy,DRAFT,Boundary in Art 2(2)(c); recital 18 elaborates.
GE2,boundary-absence,"Does the GDPR protect the personal data of deceased persons? Where does the text address this, and what latitude do Member States have?",Recitals,this Regulation does not apply to the personal data of deceased persons; Member States may provide for rules,hard,DRAFT,Stated only in recital 27 - not in any operative article; tests recitals navigation.
GE3,boundary-absence,Does the GDPR set a maximum retention period (a specific number of days or years) for personal data? What does it require instead?,Article 5,no fixed period exists; storage limitation: kept no longer than is necessary for the purposes,medium,DRAFT,Absence of a concrete number; principle-based answer.
GE4,boundary-absence,"Does the GDPR govern anonymous information, including when used for statistics or research? Where is this addressed?",Recitals,does not concern the processing of anonymous information; information which does not relate to an identified or identifiable natural person,hard,DRAFT,Recital 26 only; operative articles never state it.
