qid,category,index,retriever,fetched_ranges,n_tool_calls,latency_s,content_tokens,output_tokens_est,in_price,out_price,floor_cost_usd,nav_input_est,nav_cost_est_usd,my_retrieval,my_answer
DL3,direct-location,IDX-D,gpt-4o-2024-11-20,801-1211,3,5.81,4632,225,2.5,10.0,0.01383,135822,0.341805,4.0,4.0
DL3,direct-location,IDX-D,claude-sonnet-4-5,801-1220,3,16.15,4795,398,3.0,15.0,0.020355,135985,0.413925,4.0,4.0
DL3,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,801-1239,3,231.04,5252,742,0.0,0.0,0.0,136442,0.0,4.0,3.0
DL3,direct-location,IDX-C,gpt-4o-2024-11-20,801-1219,3,8.64,4632,305,2.5,10.0,0.01463,135822,0.342605,4.0,4.0
DL3,direct-location,IDX-C,claude-sonnet-4-5,801-1220,3,24.47,4795,282,3.0,15.0,0.018615,135985,0.412185,4.0,4.0
DL3,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,232.3,0,1125,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL3,direct-location,IDX-O,gpt-4o-2024-11-20,801-1211,3,16.0,4632,368,2.5,10.0,0.01526,135822,0.343235,4.0,4.0
DL4,direct-location,IDX-D,gpt-4o-2024-11-20,681-702,2,4.03,250,152,2.5,10.0,0.002145,87710,0.220795,4.0,4.0
DL4,direct-location,IDX-D,claude-sonnet-4-5,681-701,3,11.63,188,200,3.0,15.0,0.003564,131378,0.397134,4.0,4.0
DL4,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,"120-160,540,2176 ; 2403-2476",6,407.96,24403,365,0.0,0.0,0.0,286783,0.0,1.0,1.0
DL4,direct-location,IDX-C,gpt-4o-2024-11-20,681-702,3,6.06,250,150,2.5,10.0,0.002125,131440,0.3301,4.0,4.0
DL4,direct-location,IDX-C,claude-sonnet-4-5,679-730,3,16.59,413,224,3.0,15.0,0.004599,131603,0.398169,4.0,4.0
DL4,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,60.27,0,776,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL4,direct-location,IDX-O,gpt-4o-2024-11-20,681-702,3,6.49,250,148,2.5,10.0,0.002105,131440,0.33008,4.0,4.0
DL5,direct-location,IDX-D,gpt-4o-2024-11-20,972-1004 ; 801-813,4,5.09,1161,188,2.5,10.0,0.0047825,176081,0.4420825,4.0,3.0
DL5,direct-location,IDX-D,claude-sonnet-4-5,972-1003,3,16.21,323,358,3.0,15.0,0.006339,131513,0.399909,4.0,4.0
DL5,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,801-930 ; 2403-2476 ; 813-930,5,212.88,5520,243,0.0,0.0,0.0,224170,0.0,3.0,2.0
DL5,direct-location,IDX-C,gpt-4o-2024-11-20,972-1004,3,7.54,422,237,2.5,10.0,0.003425,131612,0.3314,4.0,4.0
DL5,direct-location,IDX-C,claude-sonnet-4-5,972-1004,3,15.64,422,314,3.0,15.0,0.005976,131612,0.399546,4.0,4.0
DL5,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,65.73,0,790,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL5,direct-location,IDX-O,gpt-4o-2024-11-20,"972-984, 972-984",3,14.62,323,118,2.5,10.0,0.0019875,131513,0.3299625,3.0,3.0
DL9,direct-location,IDX-D,gpt-4o-2024-11-20,2670-2767,3,6.33,2323,197,2.5,10.0,0.0077775,133513,0.3357525,4.0,4.0
DL9,direct-location,IDX-D,claude-sonnet-4-5,2670-2777,3,14.44,2323,239,3.0,15.0,0.010554,133513,0.404124,4.0,4.0
DL9,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,2670-2761,3,143.02,2130,226,0.0,0.0,0.0,133320,0.0,4.0,4.0
DL9,direct-location,IDX-C,gpt-4o-2024-11-20,"2703-2711,2711-2711",3,6.34,547,146,2.5,10.0,0.0028275,131737,0.3308025,4.0,4.0
DL9,direct-location,IDX-C,claude-sonnet-4-5,2703-2767,3,16.69,1765,310,3.0,15.0,0.009945,132955,0.403515,4.0,4.0
DL9,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,68.59,0,711,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL9,direct-location,IDX-O,gpt-4o-2024-11-20,2703-2711,3,11.75,547,205,2.5,10.0,0.0034175,131737,0.3313925,4.0,4.0
CS2,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,2403-2490 ; 2490-2660,4,7.65,4899,591,2.5,10.0,0.0181575,179819,0.4554575,4.0,4.0
CS2,cross-section-synthesis,IDX-D,claude-sonnet-4-5,2403-2489 ; 2490-2669 ; 3031-3132,5,28.87,6033,806,3.0,15.0,0.030189,224683,0.686139,4.0,4.0
CS2,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,"2403-2476,2490-2660",3,181.84,4722,374,0.0,0.0,0.0,135912,0.0,4.0,3.0
CS2,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,2403-2476 ; 2490-2660,4,9.99,4724,515,2.5,10.0,0.01696,179644,0.45426,4.0,4.0
CS2,cross-section-synthesis,IDX-C,claude-sonnet-4-5,"2403-2476,2490-2670",3,29.43,4874,848,3.0,15.0,0.027342,136064,0.420912,4.0,4.0
CS2,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,72.38,0,851,0.0,0.0,0.0,87460,0.0,0.0,0.0
CS2,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,2403-2476 ; 2490-2660,4,15.62,4724,521,2.5,10.0,0.01702,179644,0.45432,4.0,4.0
CS6,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,3031-3057 ; 2323-2339,4,5.6,1249,293,2.5,10.0,0.0060525,176169,0.4433525,2.0,2.0
CS6,cross-section-synthesis,IDX-D,claude-sonnet-4-5,2286-2402 ; 3674-3718 ; 3031-3132 ; 3229-3368 ; 1220-1480 ; 3133-3228 ; 94-133 ; 801-1150 ; 351-539,11,54.37,17467,880,3.0,15.0,0.065601,498497,1.508691,4.0,4.0
CS6,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,2403-2476,3,147.16,1979,492,0.0,0.0,0.0,133169,0.0,1.0,1.0
CS6,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,106-114 ; 2866-2889 ; 3133-3173,5,8.23,1520,360,2.5,10.0,0.0074,220170,0.554025,2.0,2.0
CS6,cross-section-synthesis,IDX-C,claude-sonnet-4-5,428-432 ; 2842-2856 ; 2889-2901 ; 2311-2323 ; 3145-3160 ; 3057-3091 ; 3240-3250 ; 3685-3699,10,50.46,3995,826,3.0,15.0,0.024375,441295,1.336275,4.0,4.0
CS6,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,65.57,0,895,0.0,0.0,0.0,87460,0.0,0.0,0.0
CS6,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,2275-2285 ; 98-106,4,6.39,146,122,2.5,10.0,0.001585,175066,0.438885,1.0,1.0
CS8,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,1481-1203 ; 801-1211 ; 1481-1950,5,7.89,9449,222,2.5,10.0,0.0258425,228099,0.5724675,2.0,2.0
CS8,cross-section-synthesis,IDX-D,claude-sonnet-4-5,"762-780, 1149-1188, 1434-1457, 1626-1665, 1895-1926, 2102-2155",3,23.84,14914,427,3.0,15.0,0.051147,146104,0.444717,4.0,3.0
CS8,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,"540-801,823-1220,1232-1716,1738-2189,2211-2777",3,535.54,28884,841,0.0,0.0,0.0,160074,0.0,3.0,2.0
CS8,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,1481-1699 ; 1220-1472 ; 801-1211,5,8.96,9940,324,2.5,10.0,0.02809,228590,0.574715,2.0,2.0
CS8,cross-section-synthesis,IDX-C,claude-sonnet-4-5,"813-1149,1232-1433,1494-1699,1730-1950,1981-2169",3,23.02,14408,477,3.0,15.0,0.050379,145598,0.443949,4.0,3.0
CS8,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,126.6,0,980,0.0,0.0,0.0,87460,0.0,0.0,0.0
CS8,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,1220-1480 ; 801-1203,4,19.93,7402,329,2.5,10.0,0.021795,182322,0.459095,1.0,1.0
CN4,consistency,IDX-D,gpt-4o-2024-11-20,134-236 ; 3229-3369 ; 801-1220,5,6.19,8126,429,2.5,10.0,0.024605,226776,0.57123,4.0,3.0
CN4,consistency,IDX-D,claude-sonnet-4-5,134-234 ; 3229-3367 ; 801-1219,5,18.75,7864,399,3.0,15.0,0.029577,226514,0.685527,4.0,4.0
CN4,consistency,IDX-D,qwen2.5-7b-instruct-ctx32k,"134-187,236-529,2490-3354",3,293.59,43502,504,0.0,0.0,0.0,174692,0.0,1.0,1.0
CN4,consistency,IDX-C,gpt-4o-2024-11-20,3229-3363 ; 134-358 ; 801-1203,5,10.85,9790,286,2.5,10.0,0.027335,228440,0.57396,4.0,3.0
CN4,consistency,IDX-C,claude-sonnet-4-5,"134-230, 801-1220, 3229-3369",3,23.83,43605,470,3.0,15.0,0.137865,174795,0.531435,4.0,4.0
CN4,consistency,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,71.37,0,997,0.0,0.0,0.0,87460,0.0,0.0,0.0
CN4,consistency,IDX-O,gpt-4o-2024-11-20,134-236 ; 3229-3363 ; 801-1211,5,7.96,7939,283,2.5,10.0,0.0226775,226589,0.5693025,3.0,2.0
CN6,consistency,IDX-D,gpt-4o-2024-11-20,2866-3030,3,4.85,2100,64,2.5,10.0,0.00589,133290,0.333865,4.0,4.0
CN6,consistency,IDX-D,claude-sonnet-4-5,2866-3030,3,14.02,2100,251,3.0,15.0,0.010065,133290,0.403635,4.0,4.0
CN6,consistency,IDX-D,qwen2.5-7b-instruct-ctx32k,2866-2992,3,131.15,1742,142,0.0,0.0,0.0,132932,0.0,2.0,1.0
CN6,consistency,IDX-C,gpt-4o-2024-11-20,2866-2889,3,6.3,558,60,2.5,10.0,0.001995,131748,0.32997,2.0,1.0
CN6,consistency,IDX-C,claude-sonnet-4-5,2866-3031,3,15.91,2263,232,3.0,15.0,0.010269,133453,0.403839,4.0,4.0
CN6,consistency,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,64.11,0,816,0.0,0.0,0.0,87460,0.0,0.0,0.0
CN6,consistency,IDX-O,gpt-4o-2024-11-20,2866-2888,3,11.32,409,124,2.5,10.0,0.0022625,131599,0.3302375,2.0,1.0
EG4,evidence-gap,IDX-D,gpt-4o-2024-11-20,236-335 ; 540-1699,4,5.8,14241,163,2.5,10.0,0.0372325,189161,0.4745325,3.0,3.0
EG4,evidence-gap,IDX-D,claude-sonnet-4-5,"236-350 ; 3541-3548,3719-3945 ; 1-12 ; 3573-3640",6,31.84,8586,434,3.0,15.0,0.032268,270966,0.819408,4.0,4.0
EG4,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,2403-2476,3,126.52,1979,158,0.0,0.0,0.0,133169,0.0,1.0,1.0
EG4,evidence-gap,IDX-C,gpt-4o-2024-11-20,236-351 ; 540-750,4,9.82,3969,388,2.5,10.0,0.0138025,178889,0.4511025,2.0,2.0
EG4,evidence-gap,IDX-C,claude-sonnet-4-5,329-335 ; 540-800 ; 801-2175,5,25.54,17365,346,3.0,15.0,0.057285,236015,0.713235,4.0,4.0
EG4,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,73.48,0,919,0.0,0.0,0.0,87460,0.0,0.0,0.0
EG4,evidence-gap,IDX-O,gpt-4o-2024-11-20,329-335 ; 540-752,4,14.96,2366,214,2.5,10.0,0.008055,177286,0.445355,3.0,3.0
EG5,evidence-gap,IDX-D,gpt-4o-2024-11-20,236-335 ; 351-480,4,5.18,3426,217,2.5,10.0,0.010735,178346,0.448035,4.0,4.0
EG5,evidence-gap,IDX-D,claude-sonnet-4-5,236-350 ; 351-539 ; 1-16 ; 17-133 ; 2176-2289 ; 3369-3500 ; 3719-3945 ; 2670-2778,10,42.39,13716,352,3.0,15.0,0.046428,451016,1.358328,4.0,4.0
EG5,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,2403-2476,3,162.93,1979,628,0.0,0.0,0.0,133169,0.0,1.0,1.0
EG5,evidence-gap,IDX-C,gpt-4o-2024-11-20,351-475 ; 236-335,4,7.67,3183,181,2.5,10.0,0.0097675,178103,0.4470675,4.0,4.0
EG5,evidence-gap,IDX-C,claude-sonnet-4-5,236-349 ; 351-538 ; 1-200,5,23.19,6139,298,3.0,15.0,0.022887,224789,0.678837,4.0,4.0
EG5,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,81.58,0,1005,0.0,0.0,0.0,87460,0.0,0.0,0.0
EG5,evidence-gap,IDX-O,gpt-4o-2024-11-20,311-319 ; 236-343,4,12.25,1886,77,2.5,10.0,0.005485,176806,0.442785,4.0,4.0
EG6,evidence-gap,IDX-D,gpt-4o-2024-11-20,3250-3284,3,5.22,513,250,2.5,10.0,0.0037825,131703,0.3317575,4.0,4.0
EG6,evidence-gap,IDX-D,claude-sonnet-4-5,3229-3368,3,16.48,1830,409,3.0,15.0,0.011625,133020,0.405195,4.0,4.0
EG6,evidence-gap,IDX-D,qwen2.5-7b-instruct-ctx32k,"3229-3284,3250-3270",3,137.07,888,247,0.0,0.0,0.0,132078,0.0,4.0,3.0
EG6,evidence-gap,IDX-C,gpt-4o-2024-11-20,"3229-3240,3250-3270",3,9.94,807,308,2.5,10.0,0.0050975,131997,0.3330725,4.0,4.0
EG6,evidence-gap,IDX-C,claude-sonnet-4-5,3229-3363,3,15.57,1830,382,3.0,15.0,0.01122,133020,0.40479,4.0,4.0
EG6,evidence-gap,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,64.25,0,834,0.0,0.0,0.0,87460,0.0,0.0,0.0
EG6,evidence-gap,IDX-O,gpt-4o-2024-11-20,3229-3284,3,13.27,888,350,2.5,10.0,0.00572,132078,0.333695,4.0,3.0
RD4,reflective-discovery,IDX-D,gpt-4o-2024-11-20,106-114 ; 3240-3296,4,5.05,990,259,2.5,10.0,0.005065,175910,0.442365,2.0,2.0
RD4,reflective-discovery,IDX-D,claude-sonnet-4-5,"94-120 ; 2403-2489 ; 2490-2669 ; 841-1053 ; 1253-1283,1434-1460 ; 376-471 ; 670-678,1149-1187 ; 3229-3330",10,55.11,17742,998,3.0,15.0,0.068196,455042,1.380096,4.0,4.0
RD4,reflective-discovery,IDX-D,qwen2.5-7b-instruct-ctx32k,(none fetched),2,131.08,0,524,0.0,0.0,0.0,87460,0.0,1.0,1.0
RD4,reflective-discovery,IDX-C,gpt-4o-2024-11-20,376-394 ; 414-421,4,7.63,454,334,2.5,10.0,0.004475,175374,0.441775,4.0,4.0
RD4,reflective-discovery,IDX-C,claude-sonnet-4-5,"376-392, 414-432 ; 2430-2476",4,27.55,2466,542,3.0,15.0,0.015528,177386,0.540288,4.0,4.0
RD4,reflective-discovery,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,111.41,0,1402,0.0,0.0,0.0,87460,0.0,0.0,0.0
RD4,reflective-discovery,IDX-O,gpt-4o-2024-11-20,430-420 ; 376-394 ; 414-420,5,16.75,498,254,2.5,10.0,0.003785,219148,0.55041,4.0,4.0
RD6,reflective-discovery,IDX-D,gpt-4o-2024-11-20,3424-3429 ; 3493-3500 ; 681-701,5,6.2,405,205,2.5,10.0,0.0030625,219055,0.5496875,3.0,3.0
RD6,reflective-discovery,IDX-D,claude-sonnet-4-5,(none fetched),0,0.51,0,74,3.0,15.0,0.00111,0,0.00111,,
RD6,reflective-discovery,IDX-D,qwen2.5-7b-instruct-ctx32k,2403-2476,3,150.73,1979,455,0.0,0.0,0.0,133169,0.0,1.0,1.0
RD6,reflective-discovery,IDX-C,gpt-4o-2024-11-20,141-33 ; 3424-3663,4,13.61,3817,345,2.5,10.0,0.0129925,178737,0.4502925,3.0,3.0
RD6,reflective-discovery,IDX-C,claude-sonnet-4-5,"3638-3673 ; 544-800 ; 2180-2285,3031-3132",5,54.94,21452,672,3.0,15.0,0.074436,240102,0.730386,4.0,4.0
RD6,reflective-discovery,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,60.7,0,713,0.0,0.0,0.0,87460,0.0,0.0,0.0
RD6,reflective-discovery,IDX-O,gpt-4o-2024-11-20,3422-3424 ; 3638-3663,4,12.76,965,286,2.5,10.0,0.0052725,175885,0.4425725,3.0,4.0
